"1/1/2015 0:00","1/1/2015","1-Jan-15","1-1-2015 0:00","January 1, 2015  12:00 AM","01 Jan 2015",1776,"1/1/2015 0:00:14"
"1/1/2015 1:01","1/1/2015","1-Jan-15","1-1-2015 1:01","January 1, 2015  1:01 AM","01 Jan 2015",1777,"1/1/2015 1:01:22"
"1/1/2015 2:02","1/1/2015","1-Jan-15","1-1-2015 2:02","January 1, 2015  2:02 AM","01 Jan 2015",1778,"1/1/2015 2:02:53"
"1/1/2015 3:03","1/1/2015","1-Jan-15","1-1-2015 3:03","January 1, 2015  3:03 AM","01 Jan 2015",1779,"1/1/2015 3:03:55"
"1/1/2015 4:04","1/1/2015","1-Jan-15","1-1-2015 4:04","January 1, 2015  4:04 AM","01 Jan 2015",1780,"1/1/2015 4:04:39"
"1/1/2015 5:05","1/1/2015","1-Jan-15","1-1-2015 5:05","January 1, 2015  5:05 AM","01 Jan 2015",1781,"1/1/2015 5:05:33"
"1/1/2015 6:06","1/1/2015","1-Jan-15","1-1-2015 6:06","January 1, 2015  6:06 AM","01 Jan 2015",1782,"1/1/2015 6:06:55"
"1/1/2015 7:07","1/1/2015","1-Jan-15","1-1-2015 7:07","January 1, 2015  7:07 AM","01 Jan 2015",1783,"1/1/2015 7:07:9"
"1/1/2015 8:08","1/1/2015","1-Jan-15","1-1-2015 8:08","January 1, 2015  8:08 AM","01 Jan 2015",1784,"1/1/2015 8:08:0"
"1/1/2015 9:09","1/1/2015","1-Jan-15","1-1-2015 9:09","January 1, 2015  9:09 AM","01 Jan 2015",1785,"1/1/2015 9:09:38"
"1/1/2015 10:10","1/1/2015","1-Jan-15","1-1-2015 10:10","January 1, 2015  10:10 AM","01 Jan 2015",1786,"1/1/2015 10:10:22"
"1/1/2015 11:11","1/1/2015","1-Jan-15","1-1-2015 11:11","January 1, 2015  11:11 AM","01 Jan 2015",1787,"1/1/2015 11:11:1"
"1/1/2015 12:12","1/1/2015","1-Jan-15","1-1-2015 12:12","January 1, 2015  12:12 PM","01 Jan 2015",1788,"1/1/2015 12:12:30"
"1/1/2015 13:13","1/1/2015","1-Jan-15","1-1-2015 13:13","January 1, 2015  1:13 PM","01 Jan 2015",1789,"1/1/2015 13:13:18"
"1/1/2015 14:14","1/1/2015","1-Jan-15","1-1-2015 14:14","January 1, 2015  2:14 PM","01 Jan 2015",1790,"1/1/2015 14:14:5"
"1/1/2015 15:15","1/1/2015","1-Jan-15","1-1-2015 15:15","January 1, 2015  3:15 PM","01 Jan 2015",1791,"1/1/2015 15:15:28"
"1/1/2015 16:16","1/1/2015","1-Jan-15","1-1-2015 16:16","January 1, 2015  4:16 PM","01 Jan 2015",1792,"1/1/2015 16:16:22"
"1/1/2015 17:17","1/1/2015","1-Jan-15","1-1-2015 17:17","January 1, 2015  5:17 PM","01 Jan 2015",1793,"1/1/2015 17:17:18"
"1/1/2015 18:18","1/1/2015","1-Jan-15","1-1-2015 18:18","January 1, 2015  6:18 PM","01 Jan 2015",1794,"1/1/2015 18:18:44"
"1/1/2015 19:19","1/1/2015","1-Jan-15","1-1-2015 19:19","January 1, 2015  7:19 PM","01 Jan 2015",1795,"1/1/2015 19:19:25"
"1/1/2015 20:20","1/1/2015","1-Jan-15","1-1-2015 20:20","January 1, 2015  8:20 PM","01 Jan 2015",1796,"1/1/2015 20:20:38"
"1/1/2015 21:21","1/1/2015","1-Jan-15","1-1-2015 21:21","January 1, 2015  9:21 PM","01 Jan 2015",1797,"1/1/2015 21:21:29"
"1/1/2015 22:22","1/1/2015","1-Jan-15","1-1-2015 22:22","January 1, 2015  10:22 PM","01 Jan 2015",1798,"1/1/2015 22:22:2"
"1/1/2015 23:23","1/1/2015","1-Jan-15","1-1-2015 23:23","January 1, 2015  11:23 PM","01 Jan 2015",1799,"1/1/2015 23:23:0"
"1/2/2015 0:24","1/2/2015","2-Jan-15","1-2-2015 0:24","January 2, 2015  12:24 AM","02 Jan 2015",1800,"1/2/2015 0:24:52"
"1/2/2015 1:25","1/2/2015","2-Jan-15","1-2-2015 1:25","January 2, 2015  1:25 AM","02 Jan 2015",1801,"1/2/2015 1:25:31"
"1/2/2015 2:26","1/2/2015","2-Jan-15","1-2-2015 2:26","January 2, 2015  2:26 AM","02 Jan 2015",1802,"1/2/2015 2:26:9"
"1/2/2015 3:27","1/2/2015","2-Jan-15","1-2-2015 3:27","January 2, 2015  3:27 AM","02 Jan 2015",1803,"1/2/2015 3:27:9"
"1/2/2015 4:28","1/2/2015","2-Jan-15","1-2-2015 4:28","January 2, 2015  4:28 AM","02 Jan 2015",1804,"1/2/2015 4:28:7"
"1/2/2015 5:29","1/2/2015","2-Jan-15","1-2-2015 5:29","January 2, 2015  5:29 AM","02 Jan 2015",1805,"1/2/2015 5:29:12"
"1/2/2015 6:30","1/2/2015","2-Jan-15","1-2-2015 6:30","January 2, 2015  6:30 AM","02 Jan 2015",1806,"1/2/2015 6:30:40"
